application_id,service,lms_application_id,site_lat,site_long
1744558   ,FM ,d56798fca99043a680d8c1b6063ebeb7 ,43.62069,-117.21069
1506545   ,FX ,ef009feff0d742bf8cabc1b6063ebeb7 ,43.79936,-111.77636
167361    ,FM ,25076f917ce2e04b017cf703ded85a49 ,40.47722,-88.55389 
37880     ,FM ,556b4a5694ef4def8109c1b6063ebeb7 ,40.49114,-88.99367 
1478408   ,FM ,5df002b9f66e43288c93c1b6063ebeb7 ,42.10586,-88.37731 
1237316   ,FM ,5d621cc04c5a4c37a911c1b6063ebeb7 ,39.47725,-88.14031 
83208     ,FM ,10720dc63cac40bcb6c8c1b6063ebeb7 ,41.87281,-87.64781 
196200    ,FM ,25076ff384355af00184623eee2c1fb8 ,41.87442,-87.62486 
610237    ,FM ,a871e3e0af6f4643bea7c1b6063ebeb7 ,41.42142,-87.64422 
204511    ,FM ,dcaef8c5f13f4d4182bdc1b6063ebeb7 ,39.80975,-88.99203 
603032    ,FM ,db4cae2bcfe4479187b7c1b6063ebeb7 ,41.47975,-90.26900 
167351    ,FM ,25076ff37d47a291017d7199448e102f ,40.78228,-87.93043 
1780746   ,FM ,f8c9dd3d159b436289c2c1b6063ebeb7 ,37.71750,-88.54361 
1805849   ,FX ,8d4a9fccc7c440d4b2c3c1b6063ebeb7 ,39.72172,-90.19594 
81492     ,FM ,b9bc3e519d534377baa3c1b6063ebeb7 ,41.81253,-87.88089 
666894    ,FM ,f90e870aaf07452ba201c1b6063ebeb7 ,41.60281,-88.08033 
1408536   ,FM ,2771ee91d85041d6b40ec1b6063ebeb7 ,38.69728,-88.03697 
581545    ,FM ,f65452d7c8694103b2e1c1b6063ebeb7 ,40.00144,-89.69706 
1412085   ,FM ,53e969c430eb44e19568c1b6063ebeb7 ,41.95558,-87.86728 
1556684   ,FM ,6b44976f7bf241e490c1c1b6063ebeb7 ,41.29225,-89.13314 
417201    ,FM ,32906a4ca8b64077ba32c1b6063ebeb7 ,41.86919,-88.09894 
166184    ,FM ,25076ff37dda755d017e36b0a16f1cfe ,41.32250,-88.10944 
131412    ,FM ,25076ff37789170a0177ac01e673077f ,42.09414,-87.71903 
1285728   ,FM ,67867a0e2a5e40108c21c1b6063ebeb7 ,41.61367,-86.18889 
971455    ,FM ,91651e814d8f444bb2acc1b6063ebeb7 ,38.76392,-86.52081 
208856    ,FM ,25076f9185f529c4018608e2bae60c6a ,39.70608,-85.49467 
129547    ,FM ,25076f917644a17a01764976651e0179 ,39.70614,-85.49464 
50683     ,FM ,baeaea14cba14cc3a9e7c1b6063ebeb7 ,38.29894,-85.81244 
611009    ,FM ,2c6812b745ee47f1908cc1b6063ebeb7 ,39.06839,-85.26608 
1331927   ,FX ,4998d4b006e94ecd8afcc1b6063ebeb7 ,38.68394,-87.43558 
1619987   ,FM ,546e7d846f7f44b49e5ac1b6063ebeb7 ,40.15003,-86.90389 
1424235   ,FM ,7cf5919fc7f14a358a82c1b6063ebeb7 ,39.35111,-101.05406
277203    ,FM ,84832920f2da4d64bca0c1b6063ebeb7 ,37.80447,-96.88419 
1414951   ,FM ,fe153f36ecbd4371b41bc1b6063ebeb7 ,38.36278,-98.76425 
1411947   ,FM ,4bdafd3d3748436fb6a2c1b6063ebeb7 ,38.95806,-99.35222 
1448329   ,FM ,24b8c17867e447b3a3f1c1b6063ebeb7 ,38.05444,-97.93089 
282601    ,FM ,5d9a00982bbf42f49aebc1b6063ebeb7 ,38.07389,-97.34336 
1747435   ,FM ,1a6bd57f39944819bca0c1b6063ebeb7 ,39.03917,-95.44997 
202968    ,FM ,25076f9185a4d4160185a7aeeb8100e8 ,37.59161,-101.35764
1071090   ,FM ,a3045de0df7047729b68c1b6063ebeb7 ,36.96033,-86.54694 
1783085   ,FM ,a3bb917ccd2841079dd3c1b6063ebeb7 ,36.81003,-88.35919 
108670    ,FX ,25076ff370ea86a3017107e5b267044d ,37.29169,-87.10831 
178507    ,FM ,20c76dde400a4519881cc1b6063ebeb7 ,37.59617,-84.83856 
166440    ,FM ,25076f917ce2e04b017d0193163f26f9 ,36.80139,-83.37694 
166643    ,FM ,25076ff37ce2da1c017ce60865bf02fc ,37.53828,-85.72903 
1373085   ,FM ,2aaf678c369d47899b83c1b6063ebeb7 ,38.03869,-84.50439 
269962    ,FM ,70a127e4587e4f2aa75fc1b6063ebeb7 ,38.06092,-83.95547 
1104185   ,FM ,2f8a4d44ecf9440895e9c1b6063ebeb7 ,37.07675,-84.81078 
542653    ,FM ,b88d5652b1284af8b7abc1b6063ebeb7 ,31.56544,-92.55014 
1457192   ,FX ,d64e08c43b344a198604c1b6063ebeb7 ,30.19186,-92.62153 
1689754   ,FM ,2742a2b7233d4e4bac5ec1b6063ebeb7 ,30.26158,-91.31122 
161504    ,FM ,25076ff371dbdeb80172044de60d05cd ,42.36169,-71.08553 
167344    ,FM ,25076ff37ce2da1c017cfd31f3bd4a17 ,42.29861,-73.29056 
167353    ,FM ,25076f917cce2f5b017ce0f621a72d32 ,41.28500,-70.13972 
1378699   ,FM ,6898973aad604a158399c1b6063ebeb7 ,41.63761,-70.87142 
118138    ,FM ,ef99c5a9e9d24eebbc95c1b6063ebeb7 ,42.23758,-71.80811 
1234001   ,FM ,900a0945d5604dca9d70c1b6063ebeb7 ,39.33150,-76.65747 
1068031   ,FM ,4960e0edc8b54a18a7d8c1b6063ebeb7 ,39.49206,-77.49972 
1425410   ,FM ,b4b4217ebf3d4b6db270c1b6063ebeb7 ,38.14542,-76.37244 
1806556   ,FM ,c04749def04846fe8405c1b6063ebeb7 ,44.10786,-69.92422 
204818    ,FM ,25076f9184beee8c0184c4adbe4101c8 ,43.41811,-70.80064 
586328    ,FX ,f6f4a8311b0e40d7bb5fc1b6063ebeb7 ,43.90056,-85.75950 
184207    ,FM ,25076f917e93a167017eb1b2be463af4 ,42.57781,-83.28606 
494495    ,FX ,ddedabaf5cd84fd2bb70c1b6063ebeb7 ,44.24889,-85.31339 
167505    ,FM ,25076f917cce2f5b017ce15a76642fff ,45.74694,-87.07778 
1149892   ,FM ,1e3f28d71dee488ba909c1b6063ebeb7 ,45.17000,-84.75114 
694663    ,FM ,d0717f65d6784dc5a5a8c1b6063ebeb7 ,43.17503,-83.06717 
162339    ,FM ,25076f917c2e852d017c3d21bb6b0d4e ,43.17553,-83.06733 
1575605   ,FM ,16d892a293e141c28c7dc1b6063ebeb7 ,44.70333,-83.52414 
1423983   ,FM ,78bb34f82b1747a7b77dc1b6063ebeb7 ,42.40808,-83.09158 
166056    ,FM ,25076f917db619d6017db971885e014a ,45.81815,-88.06574 
167778    ,FM ,25076ff37ce2da1c017ced1b6d2916d9 ,44.28917,-84.74222 
1125915   ,FM ,fc3d8cce767d4d3881ccc1b6063ebeb7 ,42.70558,-84.35747 
162805    ,FM ,25076f917c2e852d017c4da76eea2075 ,42.70567,-84.35758 
1071912   ,FM ,e358e918c6364fa89bcfc1b6063ebeb7 ,41.91892,-83.37603 
1667929   ,FM ,a85d68a5e9f74de7b2efc1b6063ebeb7 ,42.34947,-83.49578 
167777    ,FM ,25076f917ce2e04b017ced13ed9a2d99 ,45.77972,-87.14047 
1372164   ,FM ,f6c94375359d48ab8d88c1b6063ebeb7 ,42.91197,-85.68336 
167167    ,FM ,25076ff37dda755d017de3b5c0d70814 ,47.78253,-96.59058 
167482    ,FM ,25076f917ca4f8cf017cc3900aba2f2c ,46.82856,-95.82919 
1682359   ,FL ,6759fe76219842afbd01c1b6063ebeb7 ,46.82856,-95.82919 
1649840   ,FX ,55a8cc4868524efdb598c1b6063ebeb7 ,46.29442,-96.10006 
166960    ,FM ,25076ff37f582c06017f64c6bf2100c0 ,47.21819,-93.54744 
1743401   ,FX ,c3e20db1f908492a94d4c1b6063ebeb7 ,47.21828,-93.54744 
1424490   ,FX ,5ed7b492d0c24830890ec1b6063ebeb7 ,43.75758,-91.29006 
167620    ,FM ,25076f917ca4f8cf017ccc6581f4406d ,44.16586,-93.83931 
165772    ,FM ,25076f917ba37a35017ba8e570ae04a2 ,44.46989,-95.77364 
166956    ,FM ,25076f917f6bce4b017f8f19b9b20713 ,44.56917,-93.40944 
1549741   ,FM ,bd98f26c105e486da158c1b6063ebeb7 ,44.72078,-93.03214 
82841     ,FM ,46dabe757ad04adba25cc1b6063ebeb7 ,44.46078,-93.15603 
1410077   ,FM ,85f3e31e72a74ad2bafcc1b6063ebeb7 ,44.54108,-95.18306 
167674    ,FM ,25076f91801fe91a0180393af1b30b5e ,44.00672,-92.71861 
178415    ,FM ,947bd30e95404c54af28c1b6063ebeb7 ,45.51661,-94.23136 
1592264   ,FM ,c25c3aa3fdbe4db6aad9c1b6063ebeb7 ,43.88411,-95.18250 
608774    ,FM ,f1bddf4aaebd4851b1f3c1b6063ebeb7 ,36.55172,-93.23822 
1303707   ,FM ,84201698bea7423e819ec1b6063ebeb7 ,37.12089,-92.00267 
1520932   ,FM ,9a64302a8679441a9c7ac1b6063ebeb7 ,39.81503,-93.58856 
1355314   ,FM ,aa7c246e78944c04a4bdc1b6063ebeb7 ,38.94003,-92.32128 
167541    ,FM ,25076ff37e74a1a3017e7efbaa430421 ,37.07778,-94.13417 
166716    ,FM ,25076f917f370867017f40adb7990314 ,36.49861,-89.85444 
167014    ,FM ,25076f917dc5890a017dc8a2a38601c3 ,38.03031,-93.22872 
574358    ,FX ,41ec962461654b5090e5c1b6063ebeb7 ,40.17475,-92.55519 
111124    ,FM ,e5e4c551efee4253af58c1b6063ebeb7 ,38.41697,-90.43317 
1225766   ,FS ,45d6342fb7524b259792c1b6063ebeb7 ,38.41700,-90.43317 
1439260   ,FM ,7d318f6a329a4ea8bb6ac1b6063ebeb7 ,38.55261,-92.20419 
248595    ,FM ,90d1ef85201e47df9dd7c1b6063ebeb7 ,15.15139,145.71972 
166988    ,FM ,25076ff37c9aaf99017ca00cfe5d03d2 ,34.20206,-90.57450 
1683218   ,FL ,7596bc8446254a00a9e3c1b6063ebeb7 ,33.74456,-90.73564 
1371047   ,FM ,bd8344329fcf44ceb92fc1b6063ebeb7 ,30.44381,-88.84836 
167031    ,FM ,25076ff38000e7fd018001b0d0410099 ,33.98211,-89.68108 
115296    ,FM ,0bbe0abed8b14946ba78c1b6063ebeb7 ,34.78147,-89.44703 
1313167   ,FM ,1130ed34eb1c4e149ff7c1b6063ebeb7 ,32.13847,-89.09339 
1641532   ,FM ,46ae63754059484e8323c1b6063ebeb7 ,47.15942,-111.01161
1779055   ,FM ,6b20819fcd0d4312b754c1b6063ebeb7 ,45.63881,-111.26633
167455    ,FM ,25076f91823c943901825f78e0d10df0 ,45.95083,-112.51167
1402387   ,FX ,dda76817ed6e41d184fec1b6063ebeb7 ,48.19919,-104.52550
231923    ,FM ,97b667cebb2b47e28462c1b6063ebeb7 ,48.18831,-108.71069
1533762   ,FX ,a46582ca13634c56a64dc1b6063ebeb7 ,46.26881,-114.17647
1520159   ,FX ,bb869e610a16499eb401c1b6063ebeb7 ,48.17606,-114.35014
1581942   ,FM ,4cdbe5e70b1746edac72c1b6063ebeb7 ,46.25078,-108.48428
695415    ,FX ,21c1e4d85a2b4b0f96edc1b6063ebeb7 ,48.50358,-111.86694
207156    ,FM ,25076f9185bc65900185bc8eb6410000 ,48.66883,-113.38631
192341    ,FM ,25076ff380bb1fd40180bf05b9df00bb ,48.66883,-113.38631
207045    ,FM ,25076f9185631e9b01857d84408d0255 ,47.54083,-115.31806
158308    ,FM ,25076f917b1e3849017b305e2eeb06d8 ,35.58981,-82.67372 
